Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
89,21,1344,100.9710431098938,1
17,2,134,5005.157947540283,1
89,21,1344,100.94610452651978,1
89,21,1344,101.02125406265259,1
17,2,146,5005.155086517334,1
89,21,1344,100.97105503082275,1
89,21,1344,100.84565877914429,1
89,2,152,10000.78010559082,1
89,21,1344,101.0464072227478,1
17,2,158,5005.658864974976,1
89,21,1344,100.9711503982544,1
89,21,1344,100.92095136642456,1
17,2,146,5005.15604019165,1
89,21,1344,101.07145309448242,1
89,21,1344,100.9711503982544,1
89,21,1344,100.97110271453857,1
17,2,134,5005.155801773071,1
89,21,1344,100.9961485862732,1
89,21,1344,100.94600915908813,1
17,2,146,5005.15604019165,1
89,21,1344,100.92090368270874,1
89,2,152,9983.72197151184,1
89,21,1344,101.0462999343872,1
17,2,158,5005.658149719238,1
89,21,1344,100.89579820632935,1
89,21,1344,100.94599723815918,1
89,21,1344,100.84564685821533,1
17,2,146,5005.657911300659,1
89,21,1344,100.92095136642456,1
89,21,1344,100.92095136642456,1
17,2,134,5005.154848098755,1
89,21,1344,100.92095136642456,1
89,21,1344,100.946044921875,1
17,2,146,5005.658149719238,1
89,21,1344,100.89579820632935,1
89,2,152,9985.225915908813,1
89,21,1344,100.94594955444336,1
89,21,1344,100.946044921875,1
17,2,158,5005.657911300659,1
89,21,1344,100.9961485862732,1
89,21,1344,100.92095136642456,1
17,2,146,5005.659103393555,1
89,21,1344,100.89584589004517,1
89,21,1344,101.09654664993286,1
17,2,134,5003.650903701782,1
89,21,1344,100.92090368270874,1
17,2,146,5005.156993865967,1
89,2,152,10015.83194732666,1
17,2,158,5005.658149719238,1
17,2,146,5005.656957626343,1
17,2,134,5005.156993865967,1
17,2,146,5005.657911300659,1
89,2,152,10016.333103179932,1
17,2,158,5005.657911300659,1
17,2,146,5006.160020828247,1
17,2,134,5005.15604019165,1
17,2,146,5005.657911300659,1
89,2,152,10000.78010559082,1
17,2,158,5005.658149719238,1
17,2,146,5006.160020828247,1
17,2,134,5005.15604019165,1
89,16,1024,100.8790651957194,1
88,2,120,4681.548833847046,0
88,2,120,4619.335174560547,0
88,2,120,4354.928970336914,0
88,2,120,4432.6958656311035,0
1,2,168,2006.377935409546,0
88,2,120,4837.0819091796875,0
1,4,336,710.2680206298828,0
88,2,120,4277.163028717041,0
1,3,252,1135.3919506072998,0
1,3,252,1135.392427444458,0
1,3,252,1135.3925466537476,0
1,3,252,1150.945544242859,0
1,3,252,1150.945544242859,0
88,2,120,4510.462999343872,0
88,2,120,4914.84808921814,0
88,2,120,5365.89503288269,0
88,2,120,4977.061986923218,0
88,2,120,4961.50803565979,0
88,3,180,2784.044027328491,0
88,2,136,3141.770839691162,0
88,3,966,1314.2555952072144,0
88,4,657,2592.219670613607,0
88,3,188,3172.8769540786743,0
88,2,120,4961.508989334106,0
88,2,120,7932.191848754883,0
88,2,120,4494.909048080444,0
88,2,120,4261.609077453613,0
88,2,120,4494.909048080444,0
88,2,506,45337.924003601074,0
88,2,528,47282.08899497986,0
88,2,128,3203.984022140503,0
88,4,657,2358.919938405355,0
88,2,120,4401.589870452881,0
88,2,120,4774.868965148926,0
88,2,120,7403.379917144775,0
88,2,120,4899.294853210449,0
88,2,120,4712.656021118164,0
88,2,120,7418.934106826782,0
88,2,120,4790.421962738037,0
88,2,120,7107.867002487183,0
88,2,120,4728.209018707275,0
88,2,120,4354.928970336914,0
88,2,120,7372.272968292236,0
88,2,120,4774.868965148926,0
88,2,120,7310.060024261475,0
88,2,120,4603.782176971436,0
1,3,252,1010.9659433364868,0
1,6,504,401.2755870819092,0
1,4,336,990.228017171224,0
88,2,120,5008.16798210144,0
1,3,252,1010.9654664993286,0
1,4,336,995.4126675923666,0
88,2,120,6812.352895736694,0
1,3,252,1010.9659433364868,0
1,3,252,1003.1890869140625,0
88,2,120,4354.928970336914,0
88,2,120,4837.083101272583,0
88,2,120,7776.65901184082,0
88,2,120,4712.153911590576,0
88,2,120,7543.359994888306,0
88,2,92,31.105995178222656,0
88,2,506,15.552997589111328,0
1,3,252,995.4119920730591,0
88,2,120,4494.915008544922,0
88,2,120,4837.087869644165,0
88,2,120,4354.935169219971,0
88,2,120,4790.427923202515,0
1,3,252,1174.2770671844482,0
1,3,252,1174.277424812317,0
88,2,120,4557.127952575684,0
88,2,120,4370.488166809082,0
88,2,120,4261.615037918091,0
88,2,120,4292.72198677063,0
88,2,120,4790.427923202515,0
88,2,120,4261.614084243774,0
88,2,120,4977.068185806274,0
88,2,120,4821.535110473633,0
88,2,120,4666.001796722412,0
88,2,120,4930.408000946045,0
88,2,120,4899.302005767822,0
88,2,120,4852.642059326172,0
88,2,120,4634.894847869873,0
88,2,120,4354.933977127075,0
